,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,amplitude_cutoff
0,20922,0.12035590067052178,0.14507772020725387,7.808812843920617,0.0,0,0.0,0,0.0004299842339114232
1,211528,1.2168360078880667,0.35233160621761656,7.654539837472717,0.3483622681285063,269,0.16515649518082043,78,1.4182318430868288e-05
2,287005,1.6510250106081208,0.43523316062176165,7.817336650433731,0.25394685119252747,361,0.11892017063802807,106,1.0452670308841566e-05
3,96659,0.5560405794337044,0.20725388601036268,9.278606041383748,0.17985725388135895,29,0.06739153966264655,7,0.0
4,73263,0.42145274595279786,0.12435233160621761,9.150186993732573,0.23750231105615832,22,0.04982108860549617,3,6.824261614893268e-05
5,23472,0.13502503109351338,0.12435233160621761,9.018887921845417,0.7362281228230132,7,0.7688701989317686,3,0.00012779552715654952
6,28844,0.16592799918461573,0.16580310880829016,9.012981654359555,0.7661190601192505,11,1.0,5,0.0
7,21932,0.12616602683805964,0.06217616580310881,7.437042767950119,1.084178001116245,9,0.20087089093110144,1,0.0
8,7484,0.04305245964143892,0.02072538860103627,9.079127153803249,3.1036179350200905,3,1.0,1,0.0
9,37111,0.21348474475593796,0.04145077720207254,10.12779319109946,1.0939125116467412,26,0.21175005440046712,3,0.0
10,4255,0.024477313705815417,0.02072538860103627,7.685516579905521,6.400964559716309,2,0.0,0,0.0
11,8966,0.05157781308727169,0.06217616580310881,6.578436632361452,5.045626823376803,7,1.0,3,0.0
12,47383,0.2725754536598477,0.08290155440414508,10.842946202695996,0.41294235502734766,16,0.38308309517490247,8,0.0
13,67522,0.3884270684004862,0.08290155440414508,10.266949811780831,0.8133995627329894,64,1.0,27,7.404445629155745e-05
14,1227,0.007058440403533612,0.02072538860103627,8.65570215443227,38.48800766301339,1,0.0,0,0.0
15,37497,0.21570524841996727,0.08290155440414508,7.622842452360796,1.2363537913902545,30,1.0,13,0.0
16,7866,0.04524995290480472,0.02072538860103627,8.503428821593712,3.74599042536662,4,0.0,0,0.0008891146957957577
17,9451,0.05436782416772303,0.06217616580310881,8.646805389889058,0.648722602200215,1,0.0,0,0.0
18,1398,0.008042135031898932,0.02072538860103627,6.517778383414423,29.648328436131365,1,0.0,0,0.0
19,19532,0.11235978643994989,0.04145077720207254,6.906700780144431,0.3037743639883539,2,0.26220703851455107,1,0.0
20,175046,1.0069696486364665,0.14507772020725387,9.545569961568724,0.12481135818772278,66,0.10160714653085734,34,2.2850614110254212e-05
21,48025,0.276268622966342,0.06217616580310881,8.754876932848443,1.1556801141991055,46,0.2598801809046448,6,0.0
22,574200,3.3031430152477586,0.48186528497409326,8.894667280006013,0.21405997373010255,1218,0.12815987597828726,455,0.0
23,17524,0.10080856530686472,0.02072538860103627,10.078937175308585,4.528551473794927,24,1.0,5,0.0
24,7105,0.04087222417857075,0.02072538860103627,8.128994454275256,5.7392665549965445,5,1.0,1,0.0026670409882088714
25,519436,2.9881076197635577,0.37305699481865284,16.63003571509248,0.0395155733569452,184,0.011664997833285229,36,0.0
26,906651,5.215600692994419,0.46113989637305697,12.535952302138256,0.00563928771851031,80,0.001693219812219371,16,1.7647052335642522e-05
27,841084,4.8384199579182265,0.41968911917098445,12.033425002980756,0.022279462902890457,272,0.0059149984896254,48,0.0
